clientId,INC,ApnaDal,SP,RLD,BJP,BSP
4b0ef526-8303-43ad-a79d-312ed771debd,Very far,Very far,Very far,Very far,Very inclined,Very far
5cf15af2-1bfd-4122-9272-069a99247190,Very far,Very far,Very far,Very far,Very inclined,Very far
1fddf4f0-2d25-41a2-ba8a-088cca3ecaf8,Very far,Very far,Very inclined,Very far,Very far,Very far
e32b3a55-683d-46da-a598-cd157b03497c,Very far,Very far,Very far,Very far,Very inclined,Very far
5213d059-12c8-45e3-9fef-04d1879055df,Very far,Very far,Very far,Very far,Very inclined,Very far
438ffe26-9289-4277-a546-34be8014ead0,Very inclined,Very far,Very inclined,Very far,Very far,Very far
07284d67-9c0c-4c9d-bd8d-7062790ae7e0,Very far,Very far,Very far,Very far,Very inclined,Very far
721a44f7-c8b1-46cb-aa8c-4c89f263f5d9,Very far,Very far,Very far,Very far,Very inclined,Very far
18f28fbd-af52-4a7f-8251-b0a3df08bc79,Very far,Very far,Very far,Very far,Inclined,Very far
b6e1fee1-3cd6-4c6c-9151-9d841605201d,Very far,Very far,Very far,Very far,Very far,Very far
37d8e53f-86d2-472f-9c4c-93d8fc913ddf,Very far,Very far,Very far,Very far,Very inclined,Very far
f82fd7a6-6f12-402d-bb86-32894904b534,Very far,Very far,Very far,Very far,Very inclined,Very far
22a001e7-3433-476f-b45d-550c2c278e80,Very far,Very far,Very far,Very far,Very inclined,Very far
afc26204-571c-462f-bd20-de3c76b184d2,Very far,Very far,Very far,Very far,Inclined,Very inclined
5828dbd5-3d48-4026-91df-d6234f281daa,Very far,Very far,Very far,Very far,Very inclined,Very far
8938bc97-c684-41b6-b1f8-97e62a86af6f,Very inclined,Very far,Very far,Very far,Very inclined,Very far
ea58ecba-8863-4a98-8b12-4d37aec3bd72,Far,Very far,Very inclined,Very far,Very far,Very far
9fd72154-e939-4fb2-9970-cfec4a989213,Far,Very far,Far,Far,Far,Inclined
3bb340c3-17a4-41ee-b60e-898ca4bcbdc3,Very far,Very far,Far,Very far,Inclined,Inclined
7976aa54-db83-4a83-803f-a7d40e534901,Very far,Very far,Very far,Very far,Very inclined,Very far
b85f579c-fc00-4185-a53d-577059bbca21,Very far,Very far,Very far,Very far,Very far,Very far
cff6d03e-932c-4d0a-87bb-753891a589e9,Very far,Very far,Very far,Very far,Very inclined,Very far
bf9bb51f-eaa8-4ac8-87b6-c69dd4421f27,Far,Very inclined,Very far,Inclined,Inclined,Far
fef3595a-e04b-4542-95ad-d37a8dd7d96c,Very far,Very far,Very far,Very far,Very inclined,Very far
1d169b32-9e0c-4600-a1d1-32f87d9167b6,Very far,Very far,Very far,Very far,Very inclined,Very far
7169f134-f24b-43d0-b1d4-9274c22316db,Very far,Very far,Very far,Very far,Very inclined,Inclined
e8aa6401-927e-4d80-9cc8-80b96755edfa,Very far,Very far,Very inclined,Very far,Very far,Very far
ba368ee8-f87c-43d2-a525-9e40280cf915,Very inclined,Very far,Very far,Very far,Very inclined,Very far
9f89b64e-f7df-4ee0-896b-5e59eb6a899c,Very far,Very far,Inclined,Very far,Inclined,Very far
32e0e49f-3d2e-4c3d-b5fa-aa00ecd1a44f,Very far,Very far,Very inclined,Very far,Very far,Very far
6a9c30af-7107-4abe-9f68-aefc9fbd288b,Very far,Very far,Very far,Very far,Very inclined,Very far
54928773-0479-4291-bbaa-9e6ced2814f9,Far,Very far,Very inclined,Very far,Inclined,Inclined
75d0ac23-f4ee-440e-991c-77ba1313bf75,Very far,Very far,Very far,Very far,Very inclined,Very far
61faa46e-7616-47ed-9a00-9e45ab29660d,Very far,Very far,Far,Very far,Very inclined,Very far
15b7ab20-4735-48fc-bbbc-cb7c422a805f,Very far,Very far,Very far,Very far,Inclined,Very far
7f159446-eca3-4553-9bdc-2637ad2f11f2,Far,Very far,Inclined,Very far,Inclined,Inclined
cdc26195-e907-4e21-b570-b1b2bf8e8ffd,Very far,Very far,Very far,Very far,Very inclined,Very far
5aba6070-a29e-42d5-a535-6ef075a1ebdc,Very far,Very far,Very far,Very far,Very inclined,Very far
55042450-0d92-4c68-96d9-b35b91abc688,Inclined,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined
317dc066-7d92-41e3-ba51-4ee4b861d47e,Very far,Very far,Very far,Very far,Very inclined,Very far
e03102dd-0c4f-42a5-b5da-0ed19a909f73,Inclined,Far,Far,Far,Inclined,Far
ec7173a1-c6f4-4823-8caa-934a903407d3,Very far,Very far,Inclined,Very far,Inclined,Inclined
